#id RA DEC X Y F115W F115W_err F150W F150W_err F200W F200W_err F277W F277W_err F356W F356W_err F410M F410M_err F444W F444W_err
35 214.9180161 52.9598845 455.1068 13.7735 0.0 0.0 25.5414 0.0241 25.3051 0.0142 0.0 0.0 0.0 0.0 24.693 0.0403 24.2271 0.0389
36 214.9401138 52.9757465 2869.6445 5.9398 0.0 0.0 26.5902 0.0342 25.6726 0.0117 0.0 0.0 0.0 0.0 25.8641 0.0648 25.7183 0.0354
37 215.0346251 52.9854934 8023.1274 4337.9683 28.0577 0.1008 27.8177 0.0663 27.4759 0.0792 26.3465 0.0432 26.5151 0.039 26.9778 0.0811 26.1037 0.1074
38 215.0514079 52.9977725 9877.1504 4311.1113 28.0861 0.0867 28.6411 0.1892 27.8499 0.117 0.0 0.0 0.0 0.0 0.0 0.0 25.3669 0.0369
39 215.0284489 52.9813209 7371.5996 4321.5762 27.8526 0.1101 27.6056 0.0876 26.8875 0.0527 25.5788 0.0275 25.9912 0.0299 25.5025 0.0667 26.3569 0.0991
40 215.0447736 52.9927691 9130.9844 4333.0693 0.0 0.0 27.1203 0.0923 27.4388 0.0958 25.8815 0.0259 25.5818 0.0268 26.075 0.0466 26.1911 0.0519
41 215.048797 52.9950111 9513.0156 4379.4946 0.0 0.0 27.2054 0.0761 28.036 0.1316 26.3693 0.0507 26.9474 0.0737 26.3834 0.0639 26.3726 0.0635
42 215.0493189 52.9964308 9663.0 4300.4131 22.8389 0.0047 22.3449 0.0027 21.9495 0.0019 20.3329 0.0007 20.2517 0.0007 20.28 0.001 20.4137 0.0009
43 215.0296754 52.9822426 7509.2651 4317.8257 27.4639 0.058 26.6889 0.0576 26.8738 0.0604 25.3156 0.0212 25.2514 0.0299 25.6424 0.0431 25.4379 0.0507
44 215.0170023 52.9731936 6128.9287 4320.6719 27.9496 0.0833 27.6815 0.1008 27.1062 0.0788 25.9521 0.0278 26.4235 0.0397 27.6568 0.4136 26.3392 0.0613
